Gene	GeneDesc
K01260	aminopeptidase B [EC:3.4.11.6]
K15375	inactive phospholipase C-like protein 1
K05371	phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]
K07427	cytochrome P450 family 4 subfamily V
K07537	cyclohexa-1,5-dienecarbonyl-CoA hydratase [EC:4.2.1.100]
K00295	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
K04350	RAS guanyl-releasing protein 1
K21968	Mat/Ecp fimbriae periplasmic chaperone
K11398	chromatin modification-related protein EAF5
K10688	ubiquitin-conjugating enzyme E2 W [EC:2.3.2.25]
K11270	chromosome transmission fidelity protein 8
K20303	trafficking protein particle complex subunit 4
K20297	vacuolar protein sorting-associated protein 51
K03210	preprotein translocase subunit YajC
K14055	universal stress protein E
K19471	R-spondin-1
K14032	nuclear receptor subfamily 2 group F member 3
K16315	serine/threonine-protein kinase haspin [EC:2.7.11.1]
K03510	DNA polymerase iota [EC:2.7.7.7]
K20097	FK506-binding protein-like
K06975	uncharacterized protein
K03186	flavin prenyltransferase [EC:2.5.1.129]
K09429	E74-like factor 3
K02051	NitT/TauT family transport system substrate-binding protein
K16516	LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
K11723	bromodomain-containing protein 7
K14488	SAUR family protein
K06901	putative MFS transporter, AGZA family, xanthine/uracil permease
K18533	adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]
K08298	L-carnitine CoA-transferase [EC:2.8.3.21]
K09952	CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
K10071	C-type lectin domain family 2 member B
K00993	ethanolaminephosphotransferase [EC:2.7.8.1]
K04807	nicotinic acetylcholine receptor alpha-5
K07424	cytochrome P450 family 3 subfamily A [EC:1.14.14.1]
K16049	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase [EC:1.13.11.25]
K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K19235	L,D-transpeptidase YbiS
K10474	kelch repeat and BTB domain-containing protein 6/7
K19742	1-pyrroline-2-carboxylate reductase [NAD(P)H] [EC:1.5.1.49]
K03185	2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
K18600	potein LDB18
K11442	putative uridylyltransferase [EC:2.7.7.-]
K15935	L-rhodinosyltransferase
K18584	actin-related protein 3
K20018	cell death protein Grim
K20384	CylL-S protein
K02469	DNA gyrase subunit A [EC:5.99.1.3]
K21601	DeoR family transcriptional regulator, copper-sensing transcriptional repressor
K16740	jouberin
K18348	serine/alanine racemase [EC:5.1.1.18 5.1.1.1]
K11983	E3 ubiquitin-protein ligase RNF182 [EC:2.3.2.27]
K15471	O-methyltransferase [EC:2.1.1.-]
K11935	biofilm PGA synthesis protein PgaA
K20597	JI-20B transaminase / epimerase [EC:2.6.1.-]
K04767	acetoin utilization protein AcuB
K10297	F-box protein 11
K06627	cyclin-A
K10615	E3 ubiquitin-protein ligase HERC4 [EC:2.3.2.26]
K08686	2-halobenzoate 1,2-dioxygenase large subunit [EC:1.14.12.13]
K06658	phosphate system positive regulatory protein PHO4
K08470	Ocular albinism type 1 protein
K07660	two-component system, OmpR family, response regulator PhoP
K20927	2-methyl-1,2-propanediol dehydrogenase [EC:1.1.1.400]
K20958	diguanylate cyclase [EC:2.7.7.65]
K10569	endonuclease VIII-like 3
K11507	centromere protein O
K03861	phosphatidylinositol glycan, class P
K07688	two-component system, NarL family, response regulator, fimbrial Z protein, FimZ
K10040	putative glutamine transport system permease protein
K17235	arabinosaccharide transport system permease protein
K08036	transcription factor 1, hepatocyte nuclear factor 1-alpha
K12355	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K14754	interferon-induced GTP-binding protein Mx1
K20962	c-di-GMP phosphodiesterase [EC:3.1.4.52]
K09999	arginine transport system permease protein
K16992	microRNA 424
K21679	hydroxysqualene synthase [EC:4.2.3.156]
K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K08955	ATP-dependent metalloprotease [EC:3.4.24.-]
K17920	sorting nexin-5/6/32
K19704	protein phosphatase PTC1 [EC:3.1.3.16]
K12065	conjugal transfer pilus assembly protein TraB
K21554	CREB3 regulatory factor
K21901	LuxR family transcriptional regulator, dicarboxylate transport regulator
K18987	two-component system, OmpR family, response regulator Irr
K15284	solute carrier family 35, member E2
K19086	CRISPR-associated protein Csa4
K18686	cyclooctat-9-en-7-ol synthase [EC:4.2.3.146]
K09271	transcription factor SOX15/30
K11786	ATP-dependent helicase STH1/SNF2 [EC:3.6.4.-]
K17321	glycerol transport system substrate-binding protein
K03948	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4
K09243	transcriptional regulatory protein UME6
K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]
K15281	solute carrier family 35
K16423	(S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]
K14209	solute carrier family 36 (proton-coupled amino acid transporter)
K05799	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
K14515	EIN3-binding F-box protein
K02235	frizzled 2
K02879	large subunit ribosomal protein L17
K08907	light-harvesting complex I chlorophyll a/b binding protein 1
K08003	matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-]
K10374	tropomyosin 2
K08067	protein phosphatase 1 regulatory subunit 17
K20277	mannose-binding lectin
K04631	guanine nucleotide-binding protein G(t) subunit alpha 1/2
K07626	gap junction beta-7 protein
K21991	protein unc-45
K04940	opine dehydrogenase [EC:1.5.1.28]
K21890	growth hormone-inducible transmembrane protein
K18484	myogenic factor 5
K17096	annexin A8
K11347	protein Jade-1
K09571	FK506-binding protein 4/5 [EC:5.2.1.8]
K06855	mitogen-activated protein kinase 4/6 [EC:2.7.11.24]
K11665	DNA helicase INO80 [EC:3.6.4.12]
K20956	diguanylate cyclase [EC:2.7.7.65]
K18448	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
K15360	centromere protein X
K12997	rhamnosyltransferase [EC:2.4.1.-]
K01347	IgA-specific serine endopeptidase [EC:3.4.21.72]
K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
K17882	kanamycin nucleotidyltransferase [EC:2.7.7.-]
K16842	allantoinase [EC:3.5.2.5]
K07068	uncharacterized protein
K08115	chondroitin sulfate proteoglycan 4
K19670	phosphonoacetate hydrolase [EC:3.11.1.2]
K05374	yersiniabactin synthetase, thioesterase component
K13058	mannosylfructose-phosphate synthase [EC:2.4.1.246]
K05788	integration host factor subunit beta
K20993	pyrethroid hydrolase [EC:3.1.1.88]
K12460	ankyrin repeat-rich membrane spanning protein
K11987	prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]
K21112	synaptopodin
K09301	homeobox protein HoxA/B/D1
K21002	polysaccharide biosynthesis protein PslI
K14962	COMPASS component SWD2
K20772	1-aminocyclopropane-1-carboxylate synthase 1/2/6 [EC:4.4.1.14]
K01087	trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K15463	tRNA A64-2'-O-ribosylphosphate transferase [EC:2.4.2.-]
K11927	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
K17193	anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase [EC:2.4.2.51]
K18715	nucleoporin NUP159
K01366	cathepsin H [EC:3.4.22.16]
K09252	feruloyl esterase [EC:3.1.1.73]
K12744	deacetoxycephalosporin-C synthase [EC:1.14.20.1]
K08083	two-component system, LytTR family, response regulator AlgR
K20823	N-alpha-acetyltransferase 35, NatC auxiliary subunit
K15262	protein BCP1
K03515	DNA repair protein REV1 [EC:2.7.7.-]
K05168	interleukin 17 receptor E
K12800	NACHT, LRR and PYD domains-containing protein 3
K22170	F420H2 dehydrogenase subunit O [EC:1.5.98.3]
K21062	1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]
K08949	chlorosome envelope protein E
K21613	uncharacterized hydrolase [EC:3.-.-.-]
K16162	methane monooxygenase component D
K09758	aspartate 4-decarboxylase [EC:4.1.1.12]
K10997	replication fork protection complex subunit Tof1/Swi1
K08152	MFS transporter, DHA1 family, multidrug resistance protein B
K09141	uncharacterized protein
K07814	putative two-component system response regulator
K14389	solute carrier family 5 (sodium/glucose cotransporter), member 9
K21992	lysine N-acyltransferase [EC:2.3.1.-]
K10157	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 [EC:2.4.1.135]
K04644	clathrin light chain A
K17565	protein phosphatase 1 regulatory subunit 26
K04817	nicotinic acetylcholine receptor epsilon
K18358	phenylglyoxylate dehydrogenase delta subunit [EC:1.2.1.58]
K05031	cystic fibrosis transmembrane conductance regulator [EC:3.6.3.49]
K03818	putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]
K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K06846	lymphocyte antigen 6 complex locus protein D/E/G6/H
K16532	centrosomal protein CEP72
K16176	methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]
K15198	transcription factor TFIIIB component B''
K06315	transcriptional regulator of the spore photoproduct lyase operon
K14449	2-methylfumaryl-CoA hydratase [EC:4.2.1.148]
K05120	tyrosine kinase receptor 1 [EC:2.7.10.1]
K09864	aquaporin-1
K02162	hematopoietic Bcl-2-related protein A1
K21918	BTB/POZ domain-containing protein KCTD8/12/16
K06764	contactin 6
K13589	two-component system, cell cycle response regulator CpdR
K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]
K16526	A-kinase anchor protein 10
K05548	MFS transporter, AAHS family, benzoate transport protein
K05781	putative phosphonate transport system ATP-binding protein
K22283	hepatic triacylglycerol lipase [EC:3.1.1.3]
K07209	inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]
K17485	cyclo(L-leucyl-L-leucyl) synthase [EC:2.3.2.22]
K16469	rootletin
K03629	DNA replication and repair protein RecF
K19533	synaptonemal complex protein 1
K15645	coronafacic acid polyketide synthase Cfa7
K15434	protein FAM98B
K02812	PTS system, sorbose-specific IIA component [EC:2.7.1.206]
K17473	sigma-54 dependent transcriptional regulator, dga operon transcriptional activator
K03930	putative tributyrin esterase [EC:3.1.1.-]
K20426	1-epi-valienol-7-phosphate kinase [EC:2.7.-.-]
K16072	ELKS/RAB6-interacting/CAST family member 1
K20813	thymine-DNA glycosylase [EC:3.2.2.29]
K07761	metalloendoproteinase 5-MMP [EC:3.4.24.-]
K17739	tetrahydroxynaphthalene reductase [EC:1.1.1.252]
K05756	actin related protein 2/3 complex, subunit 3
K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K05159	tumor necrosis factor receptor superfamily member 23
K13554	neamine phosphoribosyltransferase [EC:2.4.2.49]
K06668	serine/threonine-protein kinase GIN4 [EC:2.7.11.-]
K04649	ubiquitin-conjugating enzyme (huntingtin interacting protein 2) [EC:2.3.2.23]
K20381	regulatory protein
K10823	oligopeptide transport system ATP-binding protein
K11616	malate:Na+ symporter
K19824	rubrerythrin
K07633	galactoside alpha-1,3-fucosyltransferase 5 [EC:2.4.1.65]
K02299	cytochrome o ubiquinol oxidase subunit III
K04980	transient receptor potential cation channel subfamily M member 5
K13245	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K22072	iron-sulfur cluster assembly 2
K06990	MEMO1 family protein
K20321	mutacin IV
K17015	microRNA 200a
K12804	proline-serine-threonine phosphatase interacting protein 1
K09240	transcriptional regulatory protein CAT8
K10838	xeroderma pigmentosum group C-complementing protein
K18234	virginiamycin A acetyltransferase [EC:2.3.1.-]
K05978	glucosylglycerol 3-phosphatase [EC:3.1.3.69]
K20463	oxysterol-binding protein-related protein 3/6/7
K17370	microRNA 152
K20678	dTDP-fucopyranose mutase [EC:5.4.99.59]
K15728	phosphatidate phosphatase LPIN [EC:3.1.3.4]
K17936	sorting nexin-27
K14559	U3 small nucleolar RNA-associated protein MPP10
K07701	two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]
K12892	splicing factor, arginine/serine-rich 3
K08518	syntaxin-binding protein 5
K21486	ankyrin repeat family A protein 2
K22069	LYR motif-containing protein 4
K17256	insulin-like growth factor-binding protein complex acid labile subunit
K10871	RAD51-like protein 3
K12470	SH3 domain-containing kinase-binding protein 1
K08334	beclin
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K04173	formyl peptide receptor-like
K08085	type IV fimbrial biogenesis protein FimU
K11486	polycomb-like protein 3
K21171	enediyne biosynthesis protein CalE4
K03722	ATP-dependent DNA helicase DinG [EC:3.6.4.12]
K07546	E-phenylitaconyl-CoA hydratase [EC:4.2.1.-]
K04011	complement component (3b/4b) receptor 1
K02441	GlpG protein
K08605	coccolysin [EC:3.4.24.30]
K06130	lysophospholipase II [EC:3.1.1.5]
K22263	ectopic P granules protein 2
K04278	cannabinoid receptor 2 (macrophage)
K01744	aspartate ammonia-lyase [EC:4.3.1.1]
K15312	polyketide biosynthesis enoyl-CoA hydratase PksH
K05662	ATP-binding cassette, subfamily B (MDR/TAP), member 7
K06498	high affinity immunoglobulin gamma Fc receptor I
K08453	G protein-coupled receptor 110
K05997	Fe-S cluster assembly protein SufA
K06139	pyrroloquinoline quinone biosynthesis protein E
K11009	murine toxin
K21953	SH3KBP1-binding protein 1
K20124	proline-serine-threonine phosphatase interacting protein 2
K17697	dedicator of cytokinesis protein 4
K21887	cation-transporting P-type ATPase J [EC:3.6.3.-]
K15627	tether containing UBX domain for GLUT4
K06512	leukocyte immunoglobulin-like receptor
K03484	LacI family transcriptional regulator, sucrose operon repressor
K11844	ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]
K08691	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
K17838	beta-lactamase class D [EC:3.5.2.6]
K01093	4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]
K05217	P2X purinoceptor 3
K04080	molecular chaperone IbpA
K11603	manganese transport system ATP-binding protein
K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K17796	mitochondrial import inner membrane translocase subunit TIM21
K04735	transcription factor p65
K16786	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K03876	BTB domain ubiquitin protein ligase cofactor
K02381	FdrA protein
K20398	ragulator complex protein LAMTOR2
K13864	solute carrier family 7 (cationic amino acid transporter), member 2
K05610	ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]
K10064	asialoglycoprotein receptor 2
K02576	heparan sulfate N-deacetylase/N-sulfotransferase NDST1 [EC:3.1.1.- 2.8.2.-]
K07457	endonuclease III related protein
K12820	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]
K16874	2,5-furandicarboxylate decarboxylase 1
K04358	fibroblast growth factor
K11640	two-component system, LytTR family, sensor histidine kinase NatK [EC:2.7.13.3]
K09216	ovo
K13057	trehalose synthase [EC:2.4.1.245]
K08641	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]
K22211	D-lactate dehydratase [EC:4.2.1.130]
K02786	PTS system, lactose-specific IIA component [EC:2.7.1.207]
K14447	ethylmalonyl-CoA mutase [EC:5.4.99.63]
K18219	sigma-54 dependent transcriptional regulator, tetracycline resistant transcriptional regulator
K00288	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K17673	mitochondrial translation factor ATP22
K19513	protein CLEC16A
K02470	DNA gyrase subunit B [EC:5.99.1.3]
K12443	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D
K17636	ral guanine nucleotide dissociation stimulator-like 2
K13256	protein PsiE
K12472	epidermal growth factor receptor substrate 15
K04335	minor curlin subunit
K08122	lumican
K22355	alkene monooxygenase coupling protein
K10130	leucine-rich repeats and death domain-containing protein
K04922	potassium channel subfamily K member 13
K08223	MFS transporter, FSR family, fosmidomycin resistance protein
K15130	mediator of RNA polymerase II transcription subunit 8, fungi type
K15187	YEATS domain-containing protein 1/3
K02791	PTS system, maltose/glucose-specific IIC component
K17072	interferon gamma inducible protein 47
K08404	G protein-coupled receptor 17
K15296	alpha-soluble NSF attachment protein
K15623	protein SSXT
K04523	ubiquilin
K02975	small subunit ribosomal protein S25e
K00315	dimethylglycine dehydrogenase [EC:1.5.8.4]
K20090	violacein synthase [EC:1.14.13.224]
K08134	leucine proline-enriched proteoglycan (leprecan)
K08318	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
K02900	large subunit ribosomal protein L27Ae
K19014	inter-alpha-trypsin inhibitor heavy chain H1
K14557	U3 small nucleolar RNA-associated protein 6
K16777	neuralized-like protein 4
K08619	a disintegrin and metalloproteinase with thrombospondin motifs 3 [EC:3.4.24.-]
K15435	2',3'-cyclic-nucleotide 3'-phosphodiesterase [EC:3.1.4.37]
K08486	syntaxin 1B/2/3
K18665	nudix motif 8 [EC:3.6.1.-]
K00431	thyroid peroxidase [EC:1.11.1.8]
K20588	5'''-epimerase [EC:5.1.3.-]
K07395	putative proteasome-type protease
K11013	cytolethal distending toxin subunit A
K20116	PTS system, glucose-specific IIA component [EC:2.7.1.199]
K14158	solute carrier family 5 (sodium/glucose cotransporter), member 1
K19634	D-galacturonate reductase [EC:1.1.1.365]
K14910	small nucleolar RNA snR3
K13379	reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]
K08952	chlorosome envelope protein I
K08524	retinoid X receptor alpha
K04660	decorin
K14010	translocating chain-associated membrane protein 1
K19919	cysteine-rich secretory protein
K14187	chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]
K03019	DNA-directed RNA polymerase III subunit RPC11
K04548	guanine nucleotide-binding protein G(T) subunit gamma-T1
K11510	centromere protein R
K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K03916	bradykinin receptor B2
K22340	formate dehydrogenase (NAD+, ferredoxin) subunit C [EC:1.17.1.11]
K12299	MFS transporter, ACS family, probable galactarate transporter
K02034	peptide/nickel transport system permease protein
K05095	fibroblast growth factor receptor 4 [EC:2.7.10.1]
K15362	fanconi anemia group J protein [EC:3.6.4.12]
K02660	twitching motility protein PilJ
K06905	uncharacterized protein
K03414	chemotaxis protein CheZ
K18500	heterodisulfide reductase cytochrome b-like subunit
K05304	sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132]
K18037	tyrosine-protein phosphatase non-receptor type 4 [EC:3.1.3.48]
K13288	oligoribonuclease [EC:3.1.-.-]
K17073	putative lysine transport system substrate-binding protein
K08408	G protein-coupled receptor 68
K06656	G1/S-specific cyclin PLC1
K21925	(-)-camphene/tricyclene/(4S)-limonene/myrcene synthase [EC:4.2.3.117 4.2.3.105 4.2.3.16 4.2.3.15]
K20377	HTH-type transcriptional regulator, major conjugation operon repressor
K12347	natural resistance-associated macrophage protein 1
K20335	phenol-soluble modulin alpha 1/2
K17151	microRNA 214
K01805	xylose isomerase [EC:5.3.1.5]
K11588	methyl CpG binding protein 2
K06508	CD81 antigen
K13953	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
K20883	alpha-1,2-colitosyltransferase [EC:2.4.1.341]
K09869	aquaporin-8
K01496	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K17918	sorting nexin-3/12
K08597	sentrin-specific protease 8 [EC:3.4.22.68]
K05878	dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-]
K06369	response regulator aspartate phosphatase K [EC:3.1.-.-]
K15664	fengycin family lipopeptide synthetase A
K17664	cytochrome b translational activator protein CBS1, mitochondrial
K10612	cullin 5
K19060	TetR/AcrR family transcriptional regulator, macrolide resistance operon repressor
K05005	potassium inwardly-rectifying channel subfamily J member 12
K09845	1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]
K20676	spheroide [EC:3.4.21.-]
K01982	large subunit ribosomal RNA
K00729	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
K13080	flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase [EC:2.4.1.236]
K13373	17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase [EC:1.1.1.62 1.1.1.270]
K16550	protein fantom
K03411	chemotaxis protein CheD [EC:3.5.1.44]
K16070	disintegrin and metalloproteinase domain-containing protein 32 [EC:3.4.24.-]
K04701	cytokine inducible SH2-containing protein
K14731	epsilon-lactone hydrolase [EC:3.1.1.83]
K05590	ATP-dependent RNA helicase SrmB [EC:3.6.4.13]
K10748	DNA replication terminus site-binding protein
K05065	interleukin 23 receptor
K13795	citrate/tricarballylate utilization protein
K03604	LacI family transcriptional regulator, purine nucleotide synthesis repressor
K19417	HTH-type transcriptional regulator, biofilm formation regulator
K04430	mitogen-activated protein kinase kinase 4 [EC:2.7.12.2]
K20291	conserved oligomeric Golgi complex subunit 4
K03779	L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]
K04879	potassium voltage-gated channel Shaker-related subfamily A member 6
K13482	xanthine dehydrogenase large subunit [EC:1.17.1.4]
K03236	translation initiation factor 1A
K03291	MFS transporter, SET family, sugar efflux transporter
K20815	N-terminal acetyltransferase 2
K08213	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 17
K09964	uncharacterized protein
K11894	type VI secretion system protein ImpI
K06194	lipoprotein NlpD
K03662	V-type H+-transporting ATPase S1 subunit
K16340	PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]
K18214	MFS transporter, DHA3 family, tetracycline resistance protein
K00305	sarcosine oxidase, subunit gamma [EC:1.5.3.1]
K09835	prolycopene isomerase [EC:5.2.1.13]
K05562	multicomponent K+:H+ antiporter subunit E
K15629	fatty-acid peroxygenase [EC:1.11.2.4]
K06301	spore germination protein PC
K04531	amyloid beta A4 precursor protein-binding family A member 1
K15590	transcription factor EB
K18938	TetR/AcrR family transcriptional regulator, repressor for qacA
K16701	amylovoran biosynthesis glycosyltransferase AmsD [EC:2.4.-.-]
K11829	REST corepressor 1
K11787	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]
K00990	[protein-PII] uridylyltransferase [EC:2.7.7.59]
K19944	TBC1 domain family member 10
K14562	Treacher Collins syndrome protein
K21098	discs large protein 3
K13215	nuclear receptor-interacting protein 2
K10144	RING finger and CHY zinc finger domain-containing protein 1 [EC:2.3.2.27]
K16519	A-kinase anchor protein 2
K04401	caspase 14 [EC:3.4.22.-]
K11560	kinetochore protein Mis13/DSN1
K12496	early growth response protein 2
K10044	retinoic acid receptor responder protein 2
K06234	Ras-related protein Rab-23
K20550	prosolanapyrone-II oxidase / prosolanapyrone-III cycloisomerase [EC:1.1.3.42 5.5.1.20]
K04381	stathmin
K19974	2-epi-5-epi-valiolone 7-phosphate 2-epimerase [EC:5.1.3.35]
K18861	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]
K07094	putative glycerol-1-phosphate prenyltransferase [EC:2.5.1.-]
K17353	tetraspanin-18
K05857	phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]
K13434	pathogenesis-related genes transcriptional activator PTI6
K07813	accessory gene regulator B
K08733	DCC-interacting protein 13 alpha
K10887	DNA cross-link repair 1C protein [EC:3.1.-.-]
K04936	potassium large conductance calcium-activated channel subfamily M alpha member 1
K07793	putative tricarboxylic transport membrane protein
K14355	solute carrier organic anion transporter family, member 4C
K16633	ribonuclease 11 [EC:3.1.27.-]
K06961	ribosomal RNA assembly protein
K01327	leukocyte elastase [EC:3.4.21.37]
K08893	hemopoietic cell kinase [EC:2.7.10.2]
K05017	chloride channel Ka
K07149	uncharacterized protein
K08045	adenylate cyclase 5 [EC:4.6.1.1]
K14994	solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 7/8
K11117	protein STN1
K00084	carbonyl reductase 3 [EC:1.1.1.184]
K14585	trans-o-hydroxybenzylidenepyruvate hydratase-aldolase [EC:4.1.2.45]
K12448	UDP-arabinose 4-epimerase [EC:5.1.3.5]
K05719	integrin beta 1
K07238	zinc transporter, ZIP family
K16914	bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 [EC:1.14.11.- 1.14.11.27]
K11513	centromere protein U
K06529	semaphorin 7
K15784	N2-acetyl-L-2,4-diaminobutanoate deacetylase [EC:3.5.1.125]
K17171	microRNA 378
K03625	N utilization substance protein B
K01547	K+-transporting ATPase ATPase B chain [EC:3.6.3.12]
K18641	crenactin
K16584	HAUS augmin-like complex subunit 1
K10423	CAP-Gly domain-containing linker protein 3/4
K13659	2-beta-glucuronyltransferase [EC:2.4.1.264]
K12816	pre-mRNA-processing factor 17
K10439	ribose transport system substrate-binding protein
K16221	transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
K17701	signal-induced proliferation-associated 1 like protein 1
K16213	cellobiose epimerase [EC:5.1.3.11]
K16513	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
K09910	uncharacterized protein
K05619	transglutaminase 1 [EC:2.3.2.13]
K01430	urease subunit gamma [EC:3.5.1.5]
K06605	myo-inositol catabolism protein IolH
K11395	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]
K06411	dipicolinate synthase subunit B
K14431	transcription factor TGA
K02695	photosystem I subunit VI
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K17289	cellular retinoic acid-binding protein 2
K08672	proprotein convertase subtilisin/kexin type 6 [EC:3.4.21.-]
K04103	indolepyruvate decarboxylase [EC:4.1.1.74]
K08479	two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]
K19230	cationic peptide transport system ATP-binding protein
K14378	triggering receptor expressed on myeloid cells 2
K15581	oligopeptide transport system permease protein
K07619	gap junction gamma-2 protein
K15299	regulating synaptic membrane exocytosis protein 4
K19124	CRISPR system Cascade subunit CasC
K02779	PTS system, glucose-specific IIC component
K09020	ureidoacrylate peracid hydrolase [EC:3.5.1.110]
K14167	cyclin-dependent kinase inhibitor 3 [EC:3.1.3.16 3.1.3.48]
K00649	glyceronephosphate O-acyltransferase [EC:2.3.1.42]
K14738	metalloreductase STEAP2 [EC:1.16.1.-]
K10274	F-box and leucine-rich repeat protein 8
K11306	histone acetyltransferase MYST4 [EC:2.3.1.48]
K11344	chromatin modification-related protein EAF6
K13695	probable lipoprotein NlpC
K20029	palmitoyltransferase ZDHHC3/7/25 [EC:2.3.1.225]
K08542	hepatocyte nuclear factor 4-beta
K04756	alkyl hydroperoxide reductase subunit D
K07902	Ras-related protein Rab-8B
K09747	uncharacterized protein
K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K22141	gasdermin-A
K08868	alpha-kinase
K18490	homeobox protein OTX2
K14536	ribosome assembly protein 1 [EC:3.6.5.-]
K08927	light-harvesting complex 1 beta chain
K07425	alkane 1-monooxygenase [EC:1.14.15.3]
K18719	nucleoporin NUP82
K12532	membrane fusion protein, RTX toxin transport system
K17322	glycerol transport system permease protein
K13883	Rab-interacting lysosomal protein
K20857	pannexin 2/3
K14354	solute carrier organic anion transporter family, member 4A
K06298	germination protein M
K13514	lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
K02625	MFS transporter, MHS family, dicarboxylic acid transporter PcaT
K12959	caveolin 3
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
